model_name,plant_species,precision,recall,f1_score
mobilenet_127,Suaeda aegyptiaca (Hasselq.) Zohary,0.09195402298850575,0.0425531914893617,0.05818181818181818
mobilenet_127,Tamarix nilotica (Ehrenb.) Bunge,0.34,0.6918604651162791,0.4559386973180077
mobilenet_127,Trichodesma africanum (L.) Sm.,0.29927007299270075,0.17083333333333334,0.21750663129973474
mobilenet_127,Zilla spinosa (L.) Prantl,0.8465608465608465,0.30828516377649323,0.4519774011299435
mobilenet_127,Zygophyllum arabicum (L.) Christenh. & Byng,0.12878787878787878,0.1827956989247312,0.1511111111111111
mobilenet_127,Zygophyllum coccineum L.,0.07194244604316546,0.2127659574468085,0.10752688172043011
mobilenet_127,Zygophyllum molle (Delile) Christenh. & Byng,0.0,0.0,0.0
mobilenet_127,Average Performance (Macro),0.33871041633274546,0.22675377801296692,0.23467461672048284
mobilenet_128,Anabasis articulata (Forssk.) Moq.,0.6417910447761194,0.13694267515923567,0.22572178477690288
mobilenet_128,Anabasis setifera Moq.,0.18345323741007194,0.3422818791946309,0.2388758782201405
mobilenet_128,Atriplex halimus L.,0.3482142857142857,0.39,0.36792452830188677
mobilenet_128,Calotropis procera (Aiton) W.T.Aiton,0.6666666666666666,0.1619047619047619,0.26053639846743293
mobilenet_128,Capparis spinosa L.,0.3064516129032258,0.22485207100591717,0.2593856655290102
mobilenet_128,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,0.078125,0.044642857142857144,0.056818181818181816
mobilenet_128,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",0.6,0.10588235294117647,0.18
mobilenet_128,Deverra tortuosa (Desf.) DC.,0.2857142857142857,0.06153846153846154,0.10126582278481013
mobilenet_128,Deverra triradiata Hochst. ex Boiss.,0.1111111111111111,0.1,0.10526315789473684
mobilenet_128,Diplotaxis harra (Forssk.) Boiss.,0.6310679611650486,0.2480916030534351,0.3561643835616438
mobilenet_128,Echinops glaberrimus DC.,0.15,0.1956521739130435,0.16981132075471697
mobilenet_128,Ephedra alata Decne.,0.09210526315789473,0.25,0.1346153846153846
mobilenet_128,Farsetia aegyptia Turra,0.4266666666666667,0.1415929203539823,0.21262458471760798
mobilenet_128,Gymnocarpos decander Forssk.,0.6475409836065574,0.2872727272727273,0.3979848866498741
mobilenet_128,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,0.18333333333333332,0.06790123456790123,0.0990990990990991
mobilenet_128,Heliotropium arbainense Fresen.,0.4787234042553192,0.41284403669724773,0.4433497536945813
mobilenet_128,Iphiona mucronata (Forssk.) Asch. & Schweinf.,0.0,0.0,0.0
